Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49;Column50;Column51;Column52;Column53;Column54;Column55;Column56;Column57;Column58;Column59;Column60;Column61;Column62;Column63;Column64;Column65;Column66;Column67;Column68;Column69;Column70;Column71;Column72;Column73;Column74;Column75;Column76;Column77;Column78;Column79;Column80;Column81;Column82;Column83;Column84;Column85;Column86;Column87;Column88;Column89;Column90;Column91;Column92;Column93;Column94;Column95;Column96;Column97;Column98;Column99;Column100;Column101;Column102;Column103;Column104;Column105;Column106;Column107;Column108;Column109;Column110;Column111;Column112;Column113;Column114;Column115;Column116;Column117;Column118;Column119;Column120;Column121;Column122;Column123;Column124;Column125;Column126;Column127;Column128;Column129;Column130;Column131;Column132;Column133;Column134;Column135;Column136;Column137;Column138;Column139;Column140;Column141
1;-11252;-28272;-37739;-43498;-4376;-3475;-21814;-18183;-12505;-47749;-36381;-49196;-42186;-3092;-49594;-34212;-35534;-36791;-3165;-41237;-47167;-41346;-36462;-4493;-47142;-42478;-46252;-55247;-47538;-6942;-70187;-59381;-66068;-71383;-76981;-67228;-65368;-63941;-5593;-59167;-49322;-46305;-30164;-23273;-12505;-15394;-24357;-65609;34999;61935;71195;12393;10312;22523;12868;30248;25728;19635;17938;24473;34122;3282;40604;44661;42407;48151;47784;62408;57458;59801;56459;60798;62063;65625;68475;69427;66558;5758;63813;61492;56908;46858;44282;46827;43249;40796;41862;36253;41096;47167;37217;33788;22141;274;29866;26356;34256;41951;58661;86062;11733;12582;14338;17005;1999;21253;19933;19322;17974;15223;12512;99873;48372;23132;-19491;-22092;-24374;-25469;-29114;-25649;-22787;-32242;-28929;-31817;-36365;-39346;-26642;-25682;-28869;-16234;16035;79217;93354;79696;57862;25774;22808;12343;92529;19314
1;-11009;-39968;-42858;-45066;-40224;-32344;-15661;-99226;-75468;42321;14895;18353;29488;19023;23558;25349;22174;50233;17804;13956;46794;43007;10654;12654;39949;45724;-45999;-72667;-71078;-15387;-22725;-24927;-25349;-33284;-26433;-34583;-31078;-33416;-30618;-17456;-20616;-22448;-48684;-19621;94805;11679;18519;23053;13803;24443;27169;259;2692;12706;20207;25598;15312;21022;19108;19093;21051;20711;20489;20086;34692;348;25454;33197;35669;34993;43038;4675;48606;40319;47896;39739;46412;4518;36136;37983;34279;39911;38751;2557;28403;28499;25011;17304;14942;14168;22226;17285;15078;17657;28094;48994;66089;89319;1027;12024;15574;18084;21643;20707;19036;17645;15078;12934;89456;57802;24434;-28644;-51588;-73271;-83247;-80332;-83625;-77786;-77475;-7334;-72139;-8321;-71198;-75187;-75772;-85312;-76699;-68816;-51992;39406;56033;53836;65688;78749;72405;55578;47633;77382;11196;-14362
1;-56709;-25935;-38742;-45841;-41874;-31515;-17429;-14907;-11836;-39423;-2829;-35693;-2873;-39949;-47324;-37905;-39904;-17859;-33952;-49845;-33725;-42548;-42395;-46317;-49325;-54975;-52983;-53093;-50236;-41737;-52635;-471;-67678;-89861;-61057;-53016;-76567;-58194;-53785;-55639;-43802;-43625;-40011;-13499;-23935;-12024;-19714;285;31565;10736;10952;15808;2919;26129;18841;14065;26337;28721;31432;17794;13829;32107;45817;25192;26135;27749;29879;45908;41915;52051;53776;60321;47563;52169;73525;72954;71852;49843;54544;60483;5213;39438;40502;59756;53113;37765;4677;45757;34112;40791;45913;40394;29819;4611;66466;58776;70132;9172;1248;15056;16401;1811;21854;2263;20529;18905;1793;15648;12346;9003;55196;25822;-12859;-92585;-16861;-49599;-39503;-32824;-44814;-26823;-45641;-35787;-31751;-43411;-5492;-32462;-26808;-22038;-11743;61406;12848;88607;53145;31138;-21919;-71368;-5322;3211;90423;-4218
1;49047;-19144;-36164;-43188;-4268;-38811;-29933;-16711;-13339;-96563;-18332;-10166;-27387;-12782;-19598;-21352;-17647;-15693;-14917;-18151;-18007;-24615;-27426;-14096;-27745;-38255;-31194;-36009;-40597;-57143;-52411;-53789;-60678;-66145;-68337;-74668;-63566;-62523;-54009;-67499;-65395;-56692;-52404;-41471;-38779;-28444;-72745;-16013;-9216;67165;81472;56182;24692;74395;15289;91033;11016;11728;11383;14181;27149;24974;19761;24394;38654;30002;3098;34467;38971;44285;43343;54871;52504;52197;62395;54916;66919;62993;53957;59928;49785;63809;61174;49191;57395;51624;57263;48459;37438;46177;41466;37164;44517;48417;55606;65872;86116;10164;11356;1217;15531;17722;20008;1925;18984;1721;15017;14225;10232;77634;50443;56382;-23316;-40639;-32753;-46087;-40254;-34575;-35421;-43996;-42533;-43979;-45184;-39593;-44876;-39179;-37631;-46107;-25352;21301;49117;35082;49911;60034;84207;95207;99013;10868;1403;-38356
1;80023;-87425;-23848;-39733;-43382;-38024;-25345;-17834;-15945;-7532;-29811;-42893;-49135;-3613;-3393;-32495;-29011;-36305;-52568;-59742;-57552;-5675;-50455;-61841;-68281;-74385;-81559;-8269;-78237;-92946;-99967;-1061;-10079;-10287;-11226;-10286;-10465;-10634;-11224;-98324;-85587;-79127;-58875;-51831;-3973;-35433;-20742;-88266;-16873;-67592;-32772;71899;81485;67225;13272;70241;10043;15042;10989;14886;20875;22824;27366;29952;32706;24231;38611;41909;43972;48895;54172;57387;63355;41167;44092;58871;53087;55896;60687;61473;53777;59929;64046;5684;54471;55796;53776;47229;4666;63442;42517;42078;44052;36103;3593;32137;42133;50512;67749;90869;98223;11554;13363;16275;17176;16965;17417;16741;15469;13317;11102;92221;52178;15485;-12386;-203;-24796;-21912;-2147;-31921;-1986;-15162;-12959;-74939;-19681;-17479;-20883;-21075;-10049;19745;96661;11489;95843;1059;13717;12774;9603;97102;16144;14215
1;-15077;-35746;-4478;-44083;-33212;-21052;-1481;-13014;-49824;-28693;-39003;-26384;-31802;-18592;-26979;-32225;-30925;-3911;-30326;-31929;-40792;-42158;-48138;-44752;-52485;-46912;-58261;-67904;-65205;-84685;-76668;-73515;-78846;-85128;-83701;-8435;-82704;-87806;-75509;-80992;-67942;-58342;-45742;-37778;-36063;-23173;-23684;-47711;-52632;-74355;-94409;-82684;67543;-82925;-61499;21667;-40823;38088;41113;-10717;34701;85704;12186;88891;18568;22991;1832;28685;27956;41859;39461;42764;44484;4683;51542;6363;63325;64466;62755;53004;49282;47921;41336;47562;43649;40684;4433;31768;36132;361;24143;31811;32515;4783;47608;53206;79548;94517;11049;12907;14892;17553;19609;20424;19028;19029;17581;14258;12102;9284;64126;17553;-10691;-13204;-16584;-98571;-26602;-23729;-13769;-10067;-1075;-21036;-1301;-10763;-16115;-10132;-95255;-69172;15488;69566;12149;10891;98337;10141;95263;74933;10071;1635;14934;-78313
1;-29716;-27666;-41022;-45897;-42194;-36504;-23005;-12939;-10657;-49052;50751;-76647;-94647;-15818;-68692;-14083;-69177;-13428;-59199;-13138;-18121;-21596;-21755;-25406;-33125;-30492;-27379;-34793;-38743;-404;-42505;-5077;-58217;-53292;-63787;-65594;-54965;-68673;-58304;-63651;-62085;-46829;-42352;-3247;-26359;-12756;11175;24381;84773;59936;16447;16221;12599;14363;78259;17852;1266;17504;16946;2997;24249;29717;2384;24916;22552;26718;23663;25743;41651;42658;45904;4166;40913;39678;55727;53501;59008;58584;56813;55499;45756;4627;49947;45014;37201;42852;3046;24413;29407;20672;37246;3946;39445;40425;4599;67724;81142;88953;11304;12852;16524;18393;19485;19407;18161;17273;15512;12119;11334;74592;36093;-12852;-39422;-4366;-50648;-45515;-45787;-5453;-5061;-37653;-4578;-49546;-45869;-33281;-41033;-40652;-33723;-38648;-8258;22032;59498;58178;68441;91165;97948;10535;97479;11104;12882;-82339
1;44677;-15074;-31875;-45075;-46042;-36361;-23116;-15977;-13624;-66922;-17339;-20512;-23079;-17712;-23851;-20508;-23054;-20916;-29294;-25507;-25399;-35198;-42774;-46595;-46029;-47506;-44975;-56228;-53278;-6358;-63659;-74955;-80678;-69629;-85528;-89626;-90567;-90846;-83008;-83884;-69213;-64577;-48887;-40646;-35638;-22658;-20574;-71802;-66372;7502;30632;2097;33968;16489;83024;45059;-47667;12382;10804;73936;11257;55673;12375;22033;23411;32279;21514;33897;33479;32808;51228;49877;60277;65328;68093;72841;68048;6405;6205;65801;71363;62167;48816;45528;42458;50447;42813;45084;44836;38991;39159;34957;41467;47231;56453;73509;79975;1126;11641;12818;15527;16916;18828;17603;18259;16193;13949;11328;92835;59884;22924;-14471;-27007;-32319;-3496;-29816;-25184;-29194;-41335;-30745;-33083;-43239;-28993;-32493;-30929;-25257;-28259;-16934;25873;89663;10882;10013;12921;13787;10148;82079;10344;12584;96121;-99948
1;87631;-17535;-33045;-47047;-46864;-36118;-22673;-15709;-14178;-50079;-22518;-30883;-21473;-21451;-22312;-26234;-21182;-2991;-25996;-31611;-25867;-28715;-36686;-30598;-41671;-4023;-38155;-5199;-52095;-59692;-6507;-67964;-75153;-72522;-8307;-80732;-84839;-74455;-69997;-75435;-62192;-53394;-3966;-22089;-17932;-94803;-24018;4146;94493;83212;99031;45914;10952;16816;26347;1361;15884;89803;1466;19677;26898;23726;18636;24142;27843;38316;38958;39355;57739;58775;58188;54492;65789;60178;64273;69906;68011;69864;71618;66863;67183;57504;52921;54334;60328;55471;56362;48903;44695;45643;39325;44144;44739;27406;36461;40122;44789;54781;64209;78833;7498;82085;96416;10619;13409;11378;86401;68398;62842;50113;49129;46194;32981;12042;-14197;-19518;-10265;-76308;-11651;-19169;-23429;-16113;-14536;-21218;-13568;-13344;-17008;-35914;33224;10633;15758;1709;21429;23935;19256;10276;57345;19297;-64868;-24411
1;-83228;-17004;-22573;-28537;-28533;-27015;-22857;-15555;-12666;-1086;-69464;-58852;-66247;-768;-77255;-62105;-61419;-63012;-66958;-68415;-69294;-6113;-64701;-62136;-64107;-65907;-62098;-67492;-66416;-73694;-76924;-69966;-8003;-72742;-75043;-78907;-73296;-76549;-69709;-76728;-71642;-64584;-57318;-56026;-61643;-61432;-55194;-40994;-46597;-42836;-42284;-37139;-39472;-42202;-35485;-40841;-42534;-38702;-41;-42726;-3869;-37227;-38801;-32093;-3617;-30422;-22083;-26523;-25316;-17679;-18034;-13543;-10219;-69772;-12026;19393;23502;25685;1062;60628;14101;98627;10026;12497;13151;15842;10196;16903;19831;16514;19786;11946;24411;36;46533;50421;55612;68719;823;92351;10769;11586;11559;11377;10218;91858;83113;68051;5403;46393;13577;40806;55551;18918;14897;39534;77973;94139;10008;98593;97372;10345;10623;1061;11162;12244;14212;16447;20072;21186;20283;21105;22037;22275;21717;20459;21264;21269;16793;96581
1;8443;-31903;-46862;-45595;-4088;-26189;-17606;-1593;-56912;-1304;-1737;-15454;-11002;-99079;-1275;-15564;-16613;-18039;-11864;-14853;-22085;-2133;-30026;-34072;-41812;-51138;-51301;-60834;-69275;-73708;-76918;-71279;-83425;-81327;-89117;-88461;-79474;-80278;-80424;-76484;-72057;-61615;-5287;-35801;-2946;-24713;-18559;-16121;-15045;-57265;-71218;1818;45173;86901;25783;82908;67584;13455;25098;22404;21174;14528;24037;27145;19709;35853;45132;40618;54828;51869;55756;6162;55313;59117;6109;53364;51354;61563;47098;45232;42164;48208;37154;38605;39589;38188;32637;34629;22861;2734;32381;23135;24341;30026;2357;21689;26647;28661;55197;74366;1121;12565;13506;1503;19051;19777;17311;168;14573;13045;11445;75397;33954;-11637;-29537;-24484;-32682;-21512;-34201;-41664;-27606;-26074;-23417;-21292;-19;-19854;-1423;-82819;-73202;59627;46716;11523;12718;11908;11807;10582;98258;87377;16267;-20783
1;-78191;-23368;-35276;-43262;-38904;-2946;-19225;-16705;-13031;-29908;-27367;-27928;-28551;-2892;-29263;-39761;-40128;-44611;-46326;-39617;-31596;-37037;-52715;-58198;-62449;-55278;-62293;-68911;-65794;-76141;-73042;-76517;-85598;-10091;-10607;-10672;-10903;-10909;-10669;-10829;-10822;-98675;-93689;-81904;-68585;-62458;-49029;-42601;-36035;-20807;-12509;-18818;-11814;-11356;-14617;-91184;-46443;-41552;68031;9933;-19665;-40474;52611;26298;23167;11511;15658;19955;17144;22585;31608;37924;37006;41175;46198;5432;5488;48251;57314;52837;51934;47619;46593;43017;4544;43138;41159;45023;42073;35379;42603;38321;36046;39339;38357;35662;51977;55466;61017;73042;95537;11375;12443;14988;16534;17164;16938;16151;16205;14206;11759;91863;57624;26696;77792;50025;12545;21135;15532;15656;10463;16697;19686;24187;21511;20138;2571;2275;39845;81058;15423;15267;14261;15891;15648;13347;11652;95443;14702;39306
