Starting rotation with parameters:
num_neurons:    35 70 100 140
num_dropout:   
lr:             0.005 0.01 0.05
n_splits:       35
patience:       10
batch_size:     20
0	98.46	1.87	|	35	0	0.005	35	10	20
0	98.53	1.74	|	35	0	0.01	35	10	20
0	98.89	1.19	|	35	0	0.05	35	10	20
0	98.28	1.74	|	35	0.05	0.005	35	10	20
0	98.96	1.62	|	35	0.05	0.01	35	10	20
0	98.77	1.48	|	35	0.05	0.05	35	10	20
0	98.59	1.83	|	35	0.1	0.005	35	10	20
0	98.83	1.56	|	35	0.1	0.01	35	10	20
0	98.83	1.47	|	35	0.1	0.05	35	10	20
1		|	35	0.5	0.005	35	10	20
1		|	35	0.5	0.01	35	10	20
1		|	35	0.5	0.05	35	10	20
1		|	70	0	0.005	35	10	20
1		|	70	0	0.01	35	10	20
1		|	70	0	0.05	35	10	20
1		|	70	0.05	0.005	35	10	20
1		|	70	0.05	0.01	35	10	20
1		|	70	0.05	0.05	35	10	20
1		|	70	0.1	0.005	35	10	20
1		|	70	0.1	0.01	35	10	20
1		|	70	0.1	0.05	35	10	20
1		|	70	0.5	0.005	35	10	20
1		|	70	0.5	0.01	35	10	20
1		|	70	0.5	0.05	35	10	20
1		|	100	0	0.005	35	10	20
1		|	100	0	0.01	35	10	20
1		|	100	0	0.05	35	10	20
1		|	100	0.05	0.005	35	10	20
1		|	100	0.05	0.01	35	10	20
1		|	100	0.05	0.05	35	10	20
1		|	100	0.1	0.005	35	10	20
1		|	100	0.1	0.01	35	10	20
1		|	100	0.1	0.05	35	10	20
1		|	100	0.5	0.005	35	10	20
1		|	100	0.5	0.01	35	10	20
1		|	100	0.5	0.05	35	10	20
1		|	140	0	0.005	35	10	20
1		|	140	0	0.01	35	10	20
1		|	140	0	0.05	35	10	20
1		|	140	0.05	0.005	35	10	20
1		|	140	0.05	0.01	35	10	20
1		|	140	0.05	0.05	35	10	20
1		|	140	0.1	0.005	35	10	20
1		|	140	0.1	0.01	35	10	20
1		|	140	0.1	0.05	35	10	20
1		|	140	0.5	0.005	35	10	20
1		|	140	0.5	0.01	35	10	20
1		|	140	0.5	0.05	35	10	20
